forecast_month,gdp_growth,cpi_change,yield_spread
1,0.9844118967916389,0.3121775769183723,-1.0642009171531408
2,0.876642031876188,0.3210808147376189,-0.9146288776086866
3,0.8143665454871039,0.31366347121348903,-0.772550539153595
4,0.7797008029321264,0.3064793793133599,-0.640183716184677
5,0.7590079171105832,0.30155612430669265,-0.5173884472133019
6,0.7449522957911027,0.2982446653987878,-0.40352355820157554
7,0.7340793746666388,0.29583395627512815,-0.2979102339679243
8,0.7248662136829285,0.2939034568023783,-0.19992359817972938
9,0.716659107760821,0.29224389212811386,-0.10899773297907951
10,0.7091731270526155,0.29075785805956145,-0.024616588929750008
11,0.7022742746117128,0.2894001358276191,0.053694103604786714
12,0.695889353490379,0.28814830281674303,0.1263723846342334
13,0.6899699707559641,0.28698959237896854,0.19382388985833066
14,0.6844785084776503,0.2859153478440221,0.2564247172127
15,0.6793827225921379,0.28491876584138903,0.3145237741560314
16,0.674653645766865,0.2839939955647675,0.3684448222902168
17,0.6702647314355243,0.28313577772428816,0.41848832030957733
18,0.6661914589008583,0.28233929297475097,0.4649331128762337
19,0.6624111104667314,0.28160009045135864,0.5080379897816985
20,0.6589026152989135,0.2809140469952698,0.548043129889782
21,0.6556464220873923,0.2802773385627577,0.5851714401064905
22,0.6526243868421058,0.27968641697886665,0.6196297976531248
23,0.6498196707487199,0.27913798951056273,0.6516102028608592
24,0.6472166460181291,0.27862900030204674,0.6812908490158556
