,observation_date,CPIAUCSL,date,1 mo,2 mo,3 mo,4 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
0,1990-02-01,128.0,1990-02,,,8.02,,8.13,8.09,8.28,8.35,8.35,8.38,8.42,,8.44
1,1990-03-01,128.6,1990-03,,,8.08,,8.19,8.21,8.53,8.53,8.53,8.62,8.59,,8.61
2,1990-05-01,129.1,1990-05,,,8.19,,8.49,8.56,9.02,9.09,9.08,9.09,9.08,,9.04
3,1990-06-01,129.9,1990-06,,,7.94,,8.01,8.06,8.33,8.36,8.38,8.47,8.44,,8.43
4,1990-08-01,131.6,1990-08,,,7.67,,7.65,7.63,7.85,7.96,8.06,8.2,8.29,,8.36
5,1990-10-01,133.4,1990-10,,,7.37,,7.53,7.63,7.94,8.12,8.38,8.63,8.71,,8.84
6,1990-11-01,133.7,1990-11,,,7.28,,7.38,7.32,7.68,7.88,8.15,8.42,8.57,,8.7
7,1991-02-01,134.8,1991-02,,,6.17,,6.24,6.27,6.83,7.1,7.45,7.75,7.91,,8.09
8,1991-03-01,134.8,1991-03,,,6.27,,6.38,6.52,7.18,7.41,7.78,8.0,8.12,,8.28
9,1991-04-01,135.1,1991-04,,,5.94,,6.04,6.27,7.01,7.3,7.74,7.97,8.07,,8.25
10,1991-05-01,135.6,1991-05,,,5.71,,5.84,6.09,6.8,7.14,7.63,7.87,8.01,,8.18
11,1991-07-01,136.2,1991-07,,,5.76,,5.99,6.38,6.97,7.39,7.93,8.17,8.26,,8.44
12,1991-08-01,136.6,1991-08,,,5.72,,5.94,6.23,6.84,7.22,7.78,8.05,8.2,,8.38
13,1991-10-01,137.2,1991-10,,,5.25,,5.35,5.42,5.99,6.26,6.9,7.27,7.45,,7.81
14,1991-11-01,137.8,1991-11,,,4.89,,4.98,5.03,5.65,6.02,6.71,7.16,7.48,,7.93
15,1992-04-01,139.4,1992-04,,,4.11,,4.26,4.48,5.53,6.07,6.82,7.17,7.46,,7.9
16,1992-05-01,139.7,1992-05,,,3.72,,3.89,4.28,5.33,5.97,6.82,7.2,7.56,,8.01
17,1992-06-01,140.1,1992-06,,,3.82,,4.01,4.32,5.29,5.84,6.69,7.06,7.39,,7.9
18,1992-07-01,140.5,1992-07,,,3.63,,3.75,4.04,4.82,5.38,6.27,6.73,7.1,,7.76
19,1992-09-01,141.1,1992-09,,,3.22,,3.32,3.45,4.12,4.64,5.52,6.11,6.56,,7.38
20,1992-10-01,141.7,1992-10,,,2.67,,2.83,2.96,3.67,4.18,5.18,5.8,6.23,,7.3
21,1992-12-01,142.3,1992-12,,,3.4,,3.59,3.86,4.81,5.39,6.24,6.61,6.94,,7.57
22,1993-02-01,143.1,1993-02,,,3.01,,3.17,3.4,4.19,4.69,5.55,5.97,6.38,,7.21
23,1993-03-01,143.3,1993-03,,,3.03,,3.14,3.3,3.88,4.31,5.12,5.58,5.94,,6.83
24,1993-04-01,143.8,1993-04,,,2.96,,3.09,3.32,3.94,4.41,5.24,5.74,6.06,,6.97
25,1993-06-01,144.3,1993-06,,,3.14,,3.3,3.55,4.16,4.54,5.28,5.71,6.07,,6.88
26,1993-07-01,144.5,1993-07,,,3.06,,3.19,3.41,3.99,4.37,5.04,5.46,5.8,,6.69
27,1993-09-01,145.0,1993-09,,,3.08,,3.19,3.36,3.88,4.21,4.81,5.12,5.46,,6.09
28,1993-10-01,145.6,1993-10,,,2.98,,3.11,3.35,3.84,4.18,4.72,5.03,5.34,6.12,5.98
29,1993-11-01,146.0,1993-11,,,3.18,,3.36,3.53,4.11,4.42,4.96,5.32,5.56,6.19,6.02
30,1993-12-01,146.3,1993-12,,,3.19,,3.37,3.62,4.2,4.54,5.14,5.52,5.82,6.44,6.28
31,1994-02-01,146.7,1994-02,,,3.1,,3.29,3.6,4.2,4.53,5.1,5.43,5.77,6.37,6.31
32,1994-03-01,147.1,1994-03,,,3.58,,3.82,4.16,4.81,5.19,5.74,6.08,6.28,6.86,6.79
33,1994-06-01,147.9,1994-06,,,4.28,,4.83,5.36,5.98,6.33,6.74,6.95,7.12,7.52,7.39
34,1994-07-01,148.4,1994-07,,,4.32,,4.84,5.5,6.19,6.53,6.95,7.19,7.34,7.74,7.62
35,1994-08-01,149.0,1994-08,,,4.45,,4.93,5.4,6.03,6.35,6.75,6.94,7.13,7.47,7.41
36,1994-09-01,149.3,1994-09,,,4.67,,4.99,5.56,6.15,6.44,6.81,7.01,7.19,7.6,7.46
37,1994-11-01,149.8,1994-11,,,5.22,,5.75,6.25,6.93,7.21,7.58,7.75,7.91,8.2,8.06
38,1994-12-01,150.1,1994-12,,,5.71,,6.26,6.94,7.42,7.63,7.8,7.87,7.92,8.12,8.02
39,1995-02-01,150.9,1995-02,,,6.07,,6.49,6.97,7.33,7.44,7.56,7.65,7.66,7.85,7.75
40,1995-03-01,151.2,1995-03,,,5.94,,6.21,6.44,6.81,6.92,7.06,7.17,7.23,7.57,7.45
41,1995-05-01,152.1,1995-05,,,5.91,,6.11,6.32,6.62,6.75,6.9,6.96,7.09,7.43,7.35
42,1995-06-01,152.4,1995-06,,,5.67,,5.71,5.68,5.71,5.78,5.94,6.04,6.2,6.64,6.61
43,1995-08-01,152.9,1995-08,,,5.61,,5.67,5.71,5.94,6.08,6.22,6.4,6.5,6.95,6.92
